ACT1_1,ACT1_2,DISTRESS,EMPLOY,FINGOALS,FSscore,FWBscore,GOALCONF,KHscore,LMscore,MANAGE1_1,MANAGE1_2,MANAGE1_3,MANAGE1_4,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_3,MATHARDSHIP_4,MATHARDSHIP_5,MATHARDSHIP_6,PPEDUC,PPHHSIZE,PPINCIMP,PROPPLAN_1,PROPPLAN_2,PROPPLAN_3,PROPPLAN_4,SAVEHABIT,SELFCONTROL_1,SELFCONTROL_2,SELFCONTROL_3,agecat,HARDSHIP_TOTAL,FWB_high,FWBcat
5.0,5.0,3.0,2.0,1.0,76.0,56.0,4.0,0.242,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,3,8,4.0,3.0,4.0,3.0,6.0,1.0,4.0,4.0,2,0.0,1,Medium
3.0,3.0,4.0,7.0,0.0,35.0,42.0,3.0,-0.57,2,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,8,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2,0.0,0,Low
3.0,3.0,3.0,1.0,1.0,42.0,49.0,4.0,0.242,2,4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2,1,4,3.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,4,1.0,0,Medium
4.0,3.0,5.0,4.0,1.0,42.0,53.0,3.0,0.242,3,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,8,2.0,2.0,4.0,2.0,5.0,1.0,3.0,3.0,5,0.0,0,Medium
1.0,5.0,1.0,8.0,1.0,70.0,86.0,4.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,4,1,3,4.0,5.0,4.0,5.0,6.0,1.0,3.0,4.0,6,1.0,1,High
5.0,5.0,4.0,2.0,1.0,67.0,62.0,4.0,0.712,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,6,2.0,2.0,4.0,3.0,6.0,1.0,3.0,4.0,4,0.0,1,High
5.0,4.0,4.0,6.0,1.0,66.0,42.0,3.0,-1.215,1,5.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3,3,2,4.0,5.0,4.0,4.0,6.0,1.0,3.0,3.0,2,1.0,0,Low
4.0,4.0,1.0,8.0,1.0,42.0,76.0,3.0,-0.909,1,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,7,4.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,7,0.0,1,High
4.0,4.0,3.0,1.0,1.0,55.0,65.0,4.0,0.712,3,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,8,4.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,3,0.0,1,High
3.0,3.0,4.0,7.0,1.0,36.0,50.0,3.0,-0.57,2,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3,3,1,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2,3.0,0,Medium
3.0,3.0,3.0,2.0,1.0,51.0,46.0,4.0,-0.909,2,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,3,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,6,0.0,0,Medium
5.0,3.0,4.0,7.0,1.0,54.0,44.0,3.0,-1.485,1,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,4.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,1,0.0,0,Medium
3.0,3.0,3.0,1.0,0.0,43.0,51.0,3.0,-0.909,2,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,2,4.0,3.0,4.0,3.0,5.0,2.0,2.0,3.0,6,0.0,0,Medium
4.0,3.0,4.0,8.0,1.0,53.0,82.0,4.0,0.712,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,7,4.0,3.0,4.0,3.0,6.0,1.0,3.0,3.0,8,0.0,1,High
5.0,3.0,2.0,8.0,0.0,52.0,78.0,3.0,1.267,3,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,4,3.0,2.0,2.0,2.0,6.0,2.0,3.0,3.0,6,0.0,1,High
4.0,3.0,4.0,4.0,0.0,43.0,62.0,3.0,1.267,3,4.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,7,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,7,0.0,1,High
4.0,4.0,2.0,8.0,1.0,56.0,55.0,4.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,5,3.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,7,0.0,1,Medium
5.0,2.0,4.0,2.0,0.0,35.0,58.0,4.0,0.242,2,5.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,8,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4,0.0,1,Medium
5.0,5.0,5.0,4.0,1.0,71.0,51.0,3.0,-0.57,2,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,5,6,4.0,4.0,4.0,1.0,6.0,1.0,3.0,4.0,2,0.0,0,Medium
5.0,4.0,3.0,2.0,1.0,50.0,66.0,3.0,0.242,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,3,5.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,5,0.0,1,High
4.0,3.0,4.0,8.0,0.0,37.0,57.0,3.0,0.712,2,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,3,5.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,6,0.0,1,Medium
4.0,3.0,3.0,2.0,1.0,49.0,63.0,4.0,1.267,2,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,7,5.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,6,0.0,1,High
4.0,3.0,3.0,2.0,1.0,40.0,48.0,4.0,-0.57,2,4.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,1,4.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,5,0.0,0,Medium
5.0,4.0,2.0,2.0,1.0,57.0,64.0,4.0,0.242,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3,5,7,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,5,1.0,1,High
4.0,4.0,2.0,2.0,1.0,58.0,58.0,4.0,0.712,3,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,9,5.0,4.0,5.0,4.0,6.0,2.0,3.0,3.0,4,0.0,1,Medium
5.0,5.0,3.0,8.0,1.0,59.0,63.0,4.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,8,4.0,4.0,5.0,4.0,6.0,1.0,4.0,3.0,7,0.0,1,High
4.0,4.0,4.0,2.0,1.0,53.0,57.0,3.0,0.712,3,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,7,4.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,2,0.0,1,Medium
3.0,3.0,3.0,2.0,0.0,56.0,47.0,3.0,-1.215,3,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,8,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2,0.0,0,Medium
5.0,3.0,4.0,2.0,1.0,53.0,43.0,4.0,-0.57,3,4.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,4,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,2,0.0,0,Low
5.0,5.0,4.0,2.0,1.0,64.0,63.0,4.0,-0.188,2,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,3,8,4.0,4.0,4.0,4.0,6.0,2.0,3.0,4.0,3,0.0,1,High
5.0,3.0,3.0,1.0,0.0,50.0,48.0,4.0,-0.57,3,5.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2,4,4,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3,1.0,0,Medium
2.0,3.0,3.0,2.0,1.0,39.0,36.0,3.0,-0.188,2,5.0,4.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,3,1,5,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2,3.0,0,Low
4.0,3.0,3.0,2.0,1.0,39.0,38.0,3.0,0.242,3,4.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3,3,3,4.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,4,4.0,0,Low
2.0,3.0,2.0,2.0,,44.0,52.0,3.0,-0.57,2,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,3,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5,0.0,0,Medium
5.0,4.0,3.0,8.0,1.0,51.0,59.0,4.0,-0.188,3,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,7,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,6,0.0,1,Medium
4.0,4.0,3.0,3.0,1.0,56.0,58.0,4.0,0.242,3,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,5,4.0,4.0,4.0,3.0,6.0,1.0,3.0,4.0,5,0.0,1,Medium
5.0,5.0,1.0,8.0,1.0,56.0,74.0,3.0,1.267,3,5.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,3,9,4.0,4.0,4.0,4.0,6.0,3.0,2.0,4.0,6,0.0,1,High
5.0,4.0,4.0,2.0,1.0,72.0,73.0,4.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,8,5.0,5.0,5.0,5.0,6.0,1.0,4.0,4.0,2,0.0,1,High
4.0,3.0,4.0,2.0,1.0,37.0,48.0,3.0,-0.57,3,4.0,3.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,4,4,8,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,1,1.0,0,Medium
3.0,3.0,4.0,2.0,0.0,37.0,50.0,2.0,-0.188,3,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,4,3.0,3.0,2.0,1.0,5.0,3.0,2.0,2.0,5,0.0,0,Medium
4.0,3.0,5.0,2.0,1.0,50.0,57.0,3.0,0.242,3,5.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,8,3.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,2,0.0,1,Medium
4.0,3.0,2.0,2.0,1.0,55.0,58.0,3.0,-0.188,3,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2,5,7,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4,0.0,1,Medium
4.0,4.0,2.0,8.0,1.0,51.0,58.0,3.0,-0.188,3,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,6,4.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,8,0.0,1,Medium
4.0,3.0,4.0,8.0,1.0,42.0,29.0,3.0,0.242,3,5.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2,3,3,5.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,6,2.0,0,Low
3.0,3.0,3.0,1.0,1.0,43.0,44.0,3.0,0.712,3,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3,2,8,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4,2.0,0,Medium
5.0,5.0,3.0,8.0,1.0,57.0,74.0,4.0,-0.909,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,8,3.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,5,0.0,1,High
3.0,3.0,3.0,3.0,1.0,41.0,52.0,4.0,-1.485,2,4.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,1,0.0,0,Medium
5.0,4.0,3.0,2.0,1.0,46.0,58.0,4.0,0.242,2,5.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,3,2,7,5.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,3,1.0,1,Medium
5.0,3.0,5.0,,1.0,34.0,24.0,1.0,-0.57,3,2.0,3.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,2,4,2,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3,3.0,0,Low
5.0,5.0,3.0,2.0,1.0,63.0,95.0,4.0,0.712,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,8,2.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0,6,0.0,1,High
4.0,4.0,4.0,2.0,1.0,51.0,43.0,4.0,0.712,3,5.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,8,4.0,4.0,4.0,4.0,5.0,1.0,3.0,4.0,4,0.0,0,Low
4.0,3.0,2.0,2.0,1.0,46.0,44.0,4.0,-0.188,3,3.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3,2,3,4.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3,4.0,0,Medium
4.0,4.0,4.0,2.0,1.0,48.0,29.0,3.0,-0.57,2,5.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,3,2,3,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3,5.0,0,Low
4.0,4.0,2.0,8.0,0.0,60.0,85.0,4.0,0.242,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,9,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,6,0.0,1,High
5.0,3.0,3.0,2.0,1.0,38.0,52.0,3.0,0.242,3,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,8,4.0,4.0,4.0,4.0,6.0,2.0,3.0,4.0,6,0.0,0,Medium
4.0,2.0,4.0,2.0,0.0,41.0,48.0,3.0,-0.57,3,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,3,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2,0.0,0,Medium
5.0,4.0,1.0,8.0,1.0,49.0,66.0,4.0,0.242,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,2,4.0,3.0,4.0,3.0,6.0,2.0,3.0,4.0,6,0.0,1,High
5.0,4.0,2.0,2.0,0.0,65.0,68.0,4.0,1.267,3,5.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,9,2.0,2.0,3.0,2.0,6.0,1.0,2.0,2.0,4,0.0,1,High
3.0,3.0,2.0,2.0,1.0,42.0,53.0,3.0,-0.57,2,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2,4,1,3.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,3,0.0,0,Medium
3.0,3.0,3.0,2.0,1.0,37.0,50.0,3.0,-0.188,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,5,2,7,4.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,5,2.0,0,Medium
5.0,4.0,2.0,4.0,1.0,55.0,69.0,4.0,0.712,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,8,4.0,4.0,4.0,4.0,6.0,1.0,3.0,4.0,4,0.0,1,High
5.0,4.0,4.0,3.0,0.0,44.0,59.0,3.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,8,2.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,6,0.0,1,Medium
4.0,5.0,3.0,2.0,1.0,67.0,72.0,3.0,-1.485,1,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3,4,3,4.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,2,5.0,1,High
4.0,4.0,4.0,2.0,0.0,56.0,61.0,4.0,0.712,3,5.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,6,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2,0.0,1,High
5.0,5.0,1.0,8.0,1.0,54.0,77.0,3.0,0.712,3,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,9,4.0,4.0,4.0,4.0,6.0,1.0,3.0,4.0,7,0.0,1,High
5.0,4.0,3.0,8.0,1.0,52.0,69.0,3.0,0.242,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,9,3.0,4.0,4.0,4.0,6.0,3.0,4.0,3.0,6,0.0,1,High
4.0,4.0,5.0,2.0,0.0,51.0,45.0,1.0,-1.215,2,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2,5,4,4.0,3.0,3.0,4.0,6.0,4.0,3.0,3.0,1,6.0,0,Medium
4.0,3.0,4.0,2.0,1.0,30.0,42.0,3.0,-0.909,3,5.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2,1,4,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4,1.0,0,Low
5.0,5.0,5.0,2.0,1.0,43.0,29.0,4.0,-0.188,3,5.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,2,1,2,5.0,5.0,5.0,5.0,6.0,4.0,3.0,2.0,5,5.0,0,Low
5.0,3.0,3.0,8.0,1.0,53.0,61.0,3.0,-0.188,3,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,8,4.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,6,0.0,1,High
5.0,4.0,3.0,2.0,0.0,58.0,68.0,3.0,1.267,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,8,4.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,3,0.0,1,High
4.0,3.0,3.0,8.0,0.0,44.0,48.0,3.0,-0.188,3,5.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5,1,5,4.0,4.0,4.0,3.0,6.0,2.0,2.0,3.0,6,1.0,0,Medium
4.0,4.0,2.0,2.0,1.0,44.0,61.0,3.0,0.242,3,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4,5,8,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,1,0.0,1,High
5.0,5.0,1.0,8.0,1.0,55.0,63.0,4.0,0.712,3,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,8,4.0,4.0,4.0,4.0,6.0,1.0,3.0,4.0,8,0.0,1,High
5.0,4.0,4.0,2.0,1.0,59.0,58.0,3.0,0.242,3,5.0,4.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2,3,3,4.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,3,1.0,1,Medium
4.0,4.0,1.0,3.0,0.0,57.0,70.0,3.0,-0.909,3,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,7,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,6,0.0,1,High
5.0,4.0,2.0,2.0,1.0,46.0,69.0,4.0,-0.188,2,5.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,7,5.0,5.0,5.0,5.0,6.0,2.0,3.0,3.0,4,0.0,1,High
5.0,5.0,2.0,3.0,1.0,60.0,65.0,3.0,-0.188,2,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,8,5.0,5.0,5.0,4.0,6.0,1.0,4.0,4.0,3,0.0,1,High
5.0,3.0,4.0,2.0,1.0,47.0,47.0,3.0,-0.188,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,5,8,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,6,0.0,0,Medium
4.0,4.0,2.0,8.0,1.0,53.0,67.0,4.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,4.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,8,0.0,1,High
4.0,4.0,1.0,1.0,0.0,53.0,57.0,3.0,-1.215,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,4,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5,0.0,1,Medium
5.0,5.0,3.0,8.0,0.0,51.0,67.0,3.0,0.712,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,7,4.0,3.0,2.0,1.0,5.0,2.0,2.0,2.0,7,0.0,1,High
5.0,4.0,2.0,3.0,1.0,50.0,52.0,4.0,0.242,3,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,6,4.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,4,0.0,0,Medium
5.0,5.0,2.0,2.0,1.0,52.0,62.0,4.0,0.712,2,5.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,5,9,5.0,5.0,5.0,5.0,6.0,2.0,3.0,3.0,4,0.0,1,High
3.0,2.0,3.0,8.0,1.0,43.0,31.0,2.0,-0.57,3,3.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1,2,3,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,6,3.0,0,Low
3.0,4.0,3.0,2.0,1.0,53.0,56.0,4.0,-1.485,2,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,4,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,2,0.0,1,Medium
5.0,3.0,5.0,2.0,0.0,53.0,56.0,3.0,0.712,3,5.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,8,4.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,4,0.0,1,Medium
5.0,4.0,1.0,8.0,0.0,51.0,90.0,4.0,0.712,3,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,8,1.0,2.0,2.0,1.0,5.0,1.0,2.0,3.0,6,0.0,1,High
4.0,4.0,4.0,2.0,1.0,44.0,55.0,3.0,0.242,3,5.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,8,4.0,2.0,4.0,4.0,6.0,1.0,2.0,3.0,2,0.0,1,Medium
5.0,4.0,3.0,8.0,1.0,52.0,67.0,3.0,0.242,3,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,6,4.0,3.0,4.0,3.0,6.0,2.0,3.0,3.0,8,0.0,1,High
5.0,2.0,4.0,4.0,0.0,44.0,50.0,2.0,-0.909,2,5.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2,5,6,5.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,2,4.0,0,Medium
5.0,4.0,4.0,2.0,0.0,60.0,61.0,4.0,0.242,3,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,5,8,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,5,0.0,1,High
3.0,3.0,4.0,2.0,0.0,43.0,38.0,2.0,0.242,3,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,7,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4,0.0,0,Low
5.0,4.0,1.0,4.0,1.0,56.0,60.0,3.0,-0.909,3,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4,3,5.0,5.0,5.0,5.0,5.0,1.0,4.0,3.0,4,0.0,1,Medium
5.0,3.0,4.0,2.0,1.0,54.0,51.0,3.0,1.267,3,5.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,5,5.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,3,0.0,0,Medium
5.0,4.0,4.0,,1.0,52.0,66.0,3.0,1.267,3,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,8,2.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,6,0.0,1,High
5.0,5.0,3.0,8.0,0.0,63.0,64.0,3.0,0.242,1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,5,5.0,5.0,3.0,4.0,6.0,2.0,2.0,4.0,8,0.0,1,High
4.0,3.0,4.0,8.0,0.0,49.0,14.0,2.0,-0.188,2,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,5,5.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,8,0.0,0,Low
5.0,5.0,4.0,4.0,1.0,82.0,52.0,4.0,-1.215,0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,1,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,3,0.0,0,Medium
4.0,3.0,5.0,2.0,1.0,46.0,52.0,3.0,-0.188,1,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,6,4.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,3,0.0,0,Medium
3.0,3.0,3.0,2.0,1.0,42.0,45.0,3.0,-1.713,0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3,2,7,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3,6.0,0,Medium
5.0,5.0,3.0,2.0,1.0,75.0,53.0,4.0,-1.215,2,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,7,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,1,0.0,0,Medium
4.0,4.0,,,,76.0,37.0,,-1.9,1,,,,,,,,,,,4,1,9,,,,,,,,,1,,0,Low
4.0,2.0,2.0,2.0,1.0,81.0,57.0,3.0,-0.188,2,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,7,4.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4,0.0,1,Medium
4.0,,3.0,1.0,1.0,46.0,53.0,3.0,-0.909,2,5.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,3,1,1,5.0,4.0,3.0,3.0,5.0,1.0,4.0,3.0,3,1.0,0,Medium
3.0,3.0,2.0,5.0,1.0,42.0,54.0,3.0,-0.909,1,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,7,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1,0.0,0,Medium
4.0,4.0,2.0,8.0,0.0,54.0,63.0,3.0,0.712,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,3,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,8,0.0,1,High
